collectionName,dc.contributor.advisor,dc.contributor.author,dc.contributor.committeeMember,dc.contributor.editor,dc.contributor.illustrator,dc.contributor.other,dc.coverage.spatial,dc.creator,dc.creator.orcid,dc.date,dc.date.accessioned,dc.date.available,dc.date.copyright,dc.date.created,dc.date.issued,dc.date.submitted,dc.date.updated,dc.description,dc.description.abstract,dc.description.disclaimer,dc.description.provenance,dc.description.sponsorship,dc.description.uri,dc.format.extent,dc.format.medium,dc.format.mimetype,dc.identifier,dc.identifier.citation,dc.identifier.govdoc,dc.identifier.isbn,dc.identifier.ismn,dc.identifier.issn,dc.identifier.localbarcode,dc.identifier.localbibnumber,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.publisher.country,dc.relation,dc.relation.isformatof,dc.relation.ispartof,dc.relation.ispartofseries,dc.source,dc.source.uri,dc.subject,dc.subject.classification,dc.subject.ddc,dc.subject.lcsh,dc.subject.mesh,dc.subject.other,dc.title,dc.title.alternative,dc.type,dc.type.material,jhuthesis.advisor.externalmember,jhuthesis.advisor.primary,jhuthesis.advisor.secondary,jhuthesis.college.degreegranting,jhuthesis.date.defense,jhuthesis.date.submitted,jhuthesis.department.degreegranting,jhuthesis.department.primaryadvisor,local.embargo.lift,local.embargo.terms,thesis.degree.department,thesis.degree.discipline,thesis.degree.grantor,thesis.degree.level,thesis.degree.name
Provost's Undergraduate Research Awards - Research Reports,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:32,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:11,dc.date.available:11,dc.date.copyright:0,dc.date.created:0,dc.date.issued:11,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:10,dc.description.disclaimer:0,dc.description.provenance:33,dc.description.sponsorship:4,dc.description.uri:0,dc.description:1,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:11,dc.identifier:0,dc.language.iso:11,dc.publisher.country:0,dc.publisher:7,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:44,dc.title.alternative:0,dc.title:11,dc.type.material:0,dc.type:12,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
SAIS Development and Alumni Relations - Oral History Program,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:55,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:53,dc.date.available:53,dc.date.copyright:0,dc.date.created:0,dc.date.issued:53,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:53,dc.description.disclaimer:0,dc.description.provenance:57,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:53,dc.identifier:0,dc.language.iso:0,dc.publisher.country:0,dc.publisher:14,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:527,dc.title.alternative:0,dc.title:53,dc.type.material:0,dc.type:0,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Science and Education Participatory Action (SEPA) Grant - GI Division Grand Rounds,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:0,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:0,dc.date.available:0,dc.date.copyright:0,dc.date.created:0,dc.date.issued:0,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:0,dc.description.disclaimer:0,dc.description.provenance:0,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:0,dc.identifier:0,dc.language.iso:0,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:0,dc.title.alternative:0,dc.title:0,dc.type.material:0,dc.type:0,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Science and Education Participatory Action (SEPA) Grant - GI Division Journal Club,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:0,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:0,dc.date.available:0,dc.date.copyright:0,dc.date.created:0,dc.date.issued:0,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:0,dc.description.disclaimer:0,dc.description.provenance:0,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:0,dc.identifier:0,dc.language.iso:0,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:0,dc.title.alternative:0,dc.title:0,dc.type.material:0,dc.type:0,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Singleton Center for the Study of Pre-Modern Europe - Graduate Student Essay Contest Winners,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:4,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:4,dc.date.available:4,dc.date.copyright:0,dc.date.created:0,dc.date.issued:4,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:3,dc.description.disclaimer:0,dc.description.provenance:8,dc.description.sponsorship:1,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:4,dc.identifier:0,dc.language.iso:4,dc.publisher.country:0,dc.publisher:3,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:6,dc.title.alternative:0,dc.title:4,dc.type.material:0,dc.type:4,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Special Collections - African-American Postcards,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:0,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:5,dc.date.available:5,dc.date.copyright:0,dc.date.created:0,dc.date.issued:5,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:0,dc.description.disclaimer:0,dc.description.provenance:15,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:5,dc.identifier:0,dc.language.iso:0,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:0,dc.title.alternative:0,dc.title:5,dc.type.material:0,dc.type:0,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Special Collections - Birch Bark Manuscript,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:0,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:8,dc.date.available:8,dc.date.copyright:0,dc.date.created:0,dc.date.issued:8,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:1,dc.description.disclaimer:0,dc.description.provenance:31,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:8,dc.identifier:0,dc.language.iso:7,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:7,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:1,dc.title.alternative:0,dc.title:8,dc.type.material:0,dc.type:7,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Special Collections - Fowler Collection,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:0,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:299,dc.coverage.spatial:512,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:299,dc.date.available:299,dc.date.copyright:0,dc.date.created:299,dc.date.issued:299,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:299,dc.description.disclaimer:0,dc.description.provenance:303,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:299,dc.format.medium:299,dc.format.mimetype:299,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:299,dc.identifier:299,dc.language.iso:299,dc.publisher.country:0,dc.publisher:299,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:611,dc.subject:0,dc.title.alternative:0,dc.title:299,dc.type.material:0,dc.type:299,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
"Special Collections - Fowler Collection (internal view, limited access)",collectionName:0,dc.contributor.advisor:0,dc.contributor.author:0,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:300,dc.coverage.spatial:514,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:300,dc.date.available:300,dc.date.copyright:0,dc.date.created:300,dc.date.issued:300,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:300,dc.description.disclaimer:0,dc.description.provenance:304,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:300,dc.format.medium:300,dc.format.mimetype:300,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:300,dc.identifier:300,dc.language.iso:300,dc.publisher.country:0,dc.publisher:300,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:614,dc.subject:0,dc.title.alternative:0,dc.title:300,dc.type.material:0,dc.type:300,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Special Collections - Johns Hopkins Baltimore and Ohio Railroad Company Stock Certificates,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:0,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:0,dc.date.available:0,dc.date.copyright:0,dc.date.created:0,dc.date.issued:0,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:0,dc.description.disclaimer:0,dc.description.provenance:0,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:0,dc.identifier:0,dc.language.iso:0,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:0,dc.title.alternative:0,dc.title:0,dc.type.material:0,dc.type:0,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Special Collections - Johns Hopkins University Circulars,collectionName:0,dc.contributor.advisor:3,dc.contributor.author:0,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:464,dc.date.available:464,dc.date.copyright:0,dc.date.created:0,dc.date.issued:464,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:0,dc.description.disclaimer:0,dc.description.provenance:930,dc.description.sponsorship:0,dc.description.uri:0,dc.description:306,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:1,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:464,dc.identifier:0,dc.language.iso:464,dc.publisher.country:0,dc.publisher:462,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:1,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:461,dc.title.alternative:0,dc.title:464,dc.type.material:0,dc.type:464,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Special Collections - Johns Hopkins University Commencement Programs,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:137,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:137,dc.date.available:137,dc.date.copyright:0,dc.date.created:0,dc.date.issued:137,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:0,dc.description.disclaimer:0,dc.description.provenance:416,dc.description.sponsorship:0,dc.description.uri:0,dc.description:8,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:137,dc.identifier:0,dc.language.iso:129,dc.publisher.country:0,dc.publisher:129,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:409,dc.title.alternative:0,dc.title:137,dc.type.material:0,dc.type:137,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Special Collections - Johns Hopkins University Lantern Slides,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:0,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:22,dc.date.available:22,dc.date.copyright:0,dc.date.created:0,dc.date.issued:22,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:0,dc.description.disclaimer:0,dc.description.provenance:66,dc.description.sponsorship:0,dc.description.uri:0,dc.description:22,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:1,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:19,dc.identifier.uri:22,dc.identifier:0,dc.language.iso:0,dc.publisher.country:0,dc.publisher:4,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:44,dc.title.alternative:0,dc.title:22,dc.type.material:0,dc.type:22,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Special Collections - Johns Hopkins University News-Letter,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:0,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:1726,dc.date.available:1726,dc.date.copyright:0,dc.date.created:0,dc.date.issued:1726,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:1,dc.description.disclaimer:0,dc.description.provenance:5219,dc.description.sponsorship:0,dc.description.uri:0,dc.description:1667,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:1726,dc.identifier:0,dc.language.iso:38,dc.publisher.country:0,dc.publisher:1714,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:38,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:4702,dc.title.alternative:0,dc.title:1726,dc.type.material:0,dc.type:38,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Special Collections - Johns Hopkins University Oral History Collection,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:77,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:75,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:75,dc.date.available:75,dc.date.copyright:1,dc.date.created:74,dc.date.issued:74,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:75,dc.description.disclaimer:0,dc.description.provenance:227,dc.description.sponsorship:0,dc.description.uri:0,dc.description:4,dc.format.extent:75,dc.format.medium:0,dc.format.mimetype:150,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:74,dc.identifier.uri:75,dc.identifier:1,dc.language.iso:68,dc.publisher.country:0,dc.publisher:75,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:974,dc.subject:941,dc.title.alternative:0,dc.title:75,dc.type.material:0,dc.type:75,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
